category,name,_id,base,bin,Info,type,exp,city,state,country,zip,bank,refundable
Cards,Credit Card,21,2024_08_09_US_06HV_REGION_749-966-4693,520041,CLASSIC,DEBIT,Jul-30,West Donna,FL,US,06744,"CITIBANK, N.A.",0
Cards,Credit Card,22,2024_05_01_US_37AI_FEDERAL_(790)821-6070,520041,GOLD,DEBIT,Jun-29,New Joseph,TX,US,42978,WELLS FARGO,1
Cards,Credit Card,23,2024_07_28_US_97IP_EMPLOYEE_5382597667,410039,CLASSIC,CREDIT,Apr-24,Toddfurt,NY,US,90621,WELLS FARGO,1
Cards,Credit Card,24,2024_04_08_US_52PA_COVER_+1-983-266-9579x7430,520041,GOLD,CREDIT,Sep-24,Port Angela,TX,US,75666,"CITIBANK, N.A.",0
Cards,Credit Card,25,2024_08_08_US_85OH_OFF_(662)427-0289x6060,410039,CLASSIC,CREDIT,Oct-25,Landrymouth,CA,US,12780,CHASE BANK,0
Cards,Credit Card,26,2024_03_16_US_60PC_STAY_+1-261-906-4455x4330,630042,PLATINUM,CREDIT,Aug-30,Davischester,FL,US,28119,CHASE BANK,0
Cards,Credit Card,27,2024_05_17_US_90FY_WITHIN_258.294.3606,630042,PLATINUM,CREDIT,Apr-25,East Jason,WA,US,49787,"CITIBANK, N.A.",0
Cards,Credit Card,28,2024_02_12_US_81OS_ATTORNEY_563-990-9453x85550,410039,CLASSIC,DEBIT,Sep-27,Mooretown,CA,US,47571,"CITIBANK, N.A.",0
Cards,Credit Card,29,2024_01_25_US_10ZT_LIGHT_001-263-572-4490,410039,CLASSIC,CREDIT,Jun-23,Port Joseph,TX,US,82437,BANK OF AMERICA,1
Cards,Credit Card,30,2024_08_14_US_64AG_SEND_637.406.0731x99775,520041,GOLD,DEBIT,Jul-24,Staceymouth,CA,US,39585,BANK OF AMERICA,0
Cards,Credit Card,31,2024_03_06_US_28BX_ONE_(448)719-7917x2087,410039,CLASSIC,DEBIT,Feb-28,South Brendachester,FL,US,91006,"CITIBANK, N.A.",0
Cards,Credit Card,32,2024_09_12_US_03QQ_REPRESENT_001-232-653-9813x430,630042,CLASSIC,CREDIT,May-29,Ruthton,FL,US,07388,BANK OF AMERICA,0
Cards,Credit Card,33,2024_06_13_US_30LX_MEET_001-911-415-6573x63850,630042,GOLD,DEBIT,Jun-25,New Tony,NY,US,26231,WELLS FARGO,1
Cards,Credit Card,34,2024_06_12_US_67XI_SERIES_771-200-0602,630042,GOLD,DEBIT,Feb-30,Jonathanland,TX,US,55365,BANK OF AMERICA,0
Cards,Credit Card,35,2024_04_14_US_56NY_ME_(843)943-8216,630042,GOLD,CREDIT,Dec-26,Sanchezside,FL,US,94220,"CITIBANK, N.A.",1
Cards,Credit Card,36,2024_04_04_US_34WH_RECENTLY_001-449-588-5052x5225,520041,CLASSIC,CREDIT,Aug-26,Jeffreyside,TX,US,76890,WELLS FARGO,1
Cards,Credit Card,37,2024_06_27_US_44KI_STYLE_751.288.1681,410039,GOLD,DEBIT,Jul-25,Thompsonshire,FL,US,97222,CHASE BANK,1
Cards,Credit Card,38,2024_06_09_US_80IE_SUDDENLY_(803)996-2719,410039,PLATINUM,CREDIT,Aug-23,Rebeccahaven,NY,US,03761,BANK OF AMERICA,1
Cards,Credit Card,39,2024_07_26_US_26SF_TREE_+1-220-272-1659,410039,PLATINUM,CREDIT,Nov-23,Colemanside,NY,US,75983,"CITIBANK, N.A.",0
Cards,Credit Card,40,2024_09_16_US_17LP_BEGIN_340.379.2159,520041,CLASSIC,CREDIT,Dec-29,West Cynthiabury,TX,US,33123,WELLS FARGO,0
Cards,Credit Card,41,2024_06_30_US_86AO_YOURSELF_786-410-6200,520041,CLASSIC,CREDIT,Feb-29,East Kevin,TX,US,00623,BANK OF AMERICA,0
Cards,Credit Card,42,2024_03_19_US_08SS_LESS_268-846-5876x10849,410039,CLASSIC,CREDIT,Oct-25,Bishoptown,WA,US,95102,"CITIBANK, N.A.",0
Cards,Credit Card,43,2024_10_28_US_72OH_OFFICER_+1-508-757-4802,410039,CLASSIC,CREDIT,Jun-24,Coxmouth,FL,US,17432,"CITIBANK, N.A.",0
Cards,Credit Card,44,2024_06_02_US_51WV_ANALYSIS_(366)670-9051,410039,CLASSIC,DEBIT,Mar-28,Brownmouth,TX,US,82232,WELLS FARGO,0
Cards,Credit Card,45,2024_01_21_US_26ND_HIGH_411.561.7658x5868,630042,CLASSIC,CREDIT,Dec-23,Jonathanport,TX,US,90845,WELLS FARGO,1
Cards,Credit Card,46,2024_01_06_US_98NJ_KNOW_838.890.0375x0609,630042,GOLD,CREDIT,Nov-25,Lake Stephenmouth,TX,US,04301,WELLS FARGO,0
Cards,Credit Card,47,2024_10_25_US_99KL_VALUE_824-939-0267x5126,410039,GOLD,CREDIT,Jul-29,West Denise,NY,US,39792,WELLS FARGO,0
Cards,Credit Card,48,2024_11_04_US_05DG_CLEARLY_001-479-977-5838x36871,410039,GOLD,CREDIT,Oct-23,Crystalton,TX,US,54185,"CITIBANK, N.A.",0
Cards,Credit Card,49,2024_10_09_US_98SA_DARK_+1-742-748-6291x89742,520041,PLATINUM,DEBIT,May-27,East Amytown,NY,US,96595,BANK OF AMERICA,1
Cards,Credit Card,50,2024_04_17_US_71TH_FOR_267.844.3208x637,410039,PLATINUM,DEBIT,Sep-28,Lake Michaelburgh,CA,US,44406,WELLS FARGO,0
Cards,Credit Card,51,2024_02_01_US_62IH_PRETTY_600-262-4854x79153,520041,GOLD,DEBIT,May-27,West Stephanieside,NY,US,55224,WELLS FARGO,1
Cards,Credit Card,52,2024_03_04_US_80IR_ABILITY_943.838.3305x57528,410039,CLASSIC,DEBIT,Dec-30,North Michelle,NY,US,09868,WELLS FARGO,1
Cards,Credit Card,53,2024_11_05_US_42QL_ART_001-533-784-1482x7104,630042,GOLD,DEBIT,Jul-24,Brianfurt,FL,US,52811,CHASE BANK,1
Cards,Credit Card,54,2024_08_24_US_05FN_WEIGHT_6605188652,410039,CLASSIC,DEBIT,Oct-24,South Cindyburgh,FL,US,93711,WELLS FARGO,1
Cards,Credit Card,55,2024_05_23_US_25AN_FUND_+1-372-337-9213x7741,630042,GOLD,DEBIT,Nov-23,Austinside,CA,US,16047,"CITIBANK, N.A.",0
Cards,Credit Card,56,2024_04_26_US_35XO_END_370.588.7769x13993,630042,CLASSIC,CREDIT,Aug-25,Romanburgh,TX,US,12383,BANK OF AMERICA,0
Cards,Credit Card,57,2024_07_22_US_63AR_THROUGH_472.772.0919x8329,520041,GOLD,CREDIT,Mar-28,Caseymouth,TX,US,95439,CHASE BANK,1
Cards,Credit Card,58,2024_07_13_US_27BJ_GROWTH_(828)808-9943x0905,520041,PLATINUM,CREDIT,Jul-27,South Arthur,FL,US,34862,CHASE BANK,1
Cards,Credit Card,59,2024_03_26_US_32EH_DOCTOR_001-727-284-9469x07178,410039,GOLD,DEBIT,Dec-28,Tammyburgh,CA,US,13516,CHASE BANK,1
Cards,Credit Card,60,2024_11_22_US_29BN_RATE_001-697-675-4146x1903,520041,PLATINUM,DEBIT,Oct-26,Wilsonfurt,CA,US,07888,BANK OF AMERICA,1
Cards,Credit Card,61,2024_05_21_US_94HO_INTERNATIONAL_+1-393-806-9195x8944,410039,GOLD,CREDIT,Nov-27,Pattersonhaven,CA,US,68320,CHASE BANK,0
Cards,Credit Card,62,2024_04_12_US_09MN_AGREE_393.416.2648x06248,630042,CLASSIC,DEBIT,Mar-26,Margaretfort,CA,US,02592,BANK OF AMERICA,0
Cards,Credit Card,63,2024_02_21_US_62GY_LISTEN_+1-739-630-6454x233,410039,CLASSIC,CREDIT,Jan-28,Blakeport,CA,US,21540,BANK OF AMERICA,0
Cards,Credit Card,64,2024_04_27_US_60DH_BUDGET_+1-795-314-4989x70045,410039,GOLD,CREDIT,Aug-29,Taylorberg,TX,US,90753,CHASE BANK,0
Cards,Credit Card,65,2024_01_20_US_23HQ_PLACE_657-598-5692,630042,GOLD,CREDIT,Feb-27,New Meganshire,NY,US,26905,WELLS FARGO,1
Cards,Credit Card,66,2024_05_03_US_88MC_GENERATION_730.854.8046,520041,PLATINUM,DEBIT,Mar-28,Millerfurt,FL,US,07744,"CITIBANK, N.A.",0
Cards,Credit Card,67,2024_05_13_US_10BV_HEAD_482-251-0880x8583,520041,GOLD,DEBIT,Feb-26,South Caitlinport,WA,US,61514,BANK OF AMERICA,1
Cards,Credit Card,68,2024_11_18_US_97DS_MUSIC_780-956-0547,630042,CLASSIC,DEBIT,May-30,Port Monicabury,FL,US,05967,BANK OF AMERICA,1
Cards,Credit Card,69,2024_02_03_US_23IA_AGO_+1-635-812-3201x07168,520041,CLASSIC,CREDIT,Mar-24,South Caleb,CA,US,36425,WELLS FARGO,0
Cards,Credit Card,70,2024_07_16_US_98TY_FEAR_835-269-4563x651,520041,GOLD,CREDIT,Sep-30,Alisonshire,TX,US,41090,CHASE BANK,0
Cards,Credit Card,71,2024_11_14_US_02QX_NOT_359.704.6798,630042,CLASSIC,CREDIT,Jan-25,Beardside,FL,US,28742,CHASE BANK,0
Cards,Credit Card,72,2024_03_03_US_26NO_DISCUSSION_001-461-239-2434x266,410039,PLATINUM,CREDIT,Mar-27,Stephenside,NY,US,49702,BANK OF AMERICA,1
Cards,Credit Card,73,2024_03_30_US_20NT_WRITER_466-635-8273x1204,410039,GOLD,DEBIT,Feb-30,Sandrabury,WA,US,08218,"CITIBANK, N.A.",1
Cards,Credit Card,74,2024_05_16_US_31QK_LAST_230-532-3547x01514,410039,PLATINUM,CREDIT,Jul-24,North Elizabethtown,NY,US,60563,CHASE BANK,1
Cards,Credit Card,75,2024_10_08_US_45JB_HAPPY_916-339-3482,410039,GOLD,DEBIT,May-28,Thomasland,FL,US,60730,CHASE BANK,1
Cards,Credit Card,76,2024_07_27_US_50LJ_WAIT_001-639-873-0750x826,630042,GOLD,DEBIT,Dec-26,Ninatown,CA,US,89236,BANK OF AMERICA,1
Cards,Credit Card,77,2024_08_24_US_91ZF_HUSBAND_773-943-9772x436,520041,PLATINUM,CREDIT,Dec-23,Vaughnberg,TX,US,34897,"CITIBANK, N.A.",1
Cards,Credit Card,78,2024_06_21_US_90XT_INTO_(746)200-1511x88122,520041,GOLD,CREDIT,Feb-27,New Leefort,CA,US,43418,BANK OF AMERICA,1
Cards,Credit Card,79,2024_07_19_US_83PV_SIT_431-652-7592x193,410039,GOLD,CREDIT,Jan-23,New Ericburgh,FL,US,19943,WELLS FARGO,1
Cards,Credit Card,80,2024_01_09_US_41GJ_FAMILY_461-326-3354x0291,520041,PLATINUM,DEBIT,Mar-23,East Vickieberg,WA,US,35940,BANK OF AMERICA,1
Cards,Credit Card,81,2024_07_10_US_90BK_THE_+1-339-850-5582x22042,410039,CLASSIC,DEBIT,May-23,Port Amberborough,WA,US,21989,CHASE BANK,1
Cards,Credit Card,82,2024_01_11_US_01VE_PREVENT_4903070805,520041,CLASSIC,CREDIT,May-27,Simsmouth,WA,US,84411,"CITIBANK, N.A.",0
Cards,Credit Card,83,2024_03_15_US_45FL_DIFFERENCE_(212)686-6959x91844,630042,CLASSIC,CREDIT,Oct-27,Patriciafort,CA,US,40995,WELLS FARGO,0
Cards,Credit Card,84,2024_09_23_US_80TI_LISTEN_001-558-729-5140x641,410039,CLASSIC,DEBIT,Sep-29,Robertmouth,TX,US,66131,CHASE BANK,0
Cards,Credit Card,85,2024_05_19_US_62GR_TELEVISION_(930)348-1352x978,410039,PLATINUM,CREDIT,Apr-27,New Jenny,NY,US,38502,"CITIBANK, N.A.",0
Cards,Credit Card,86,2024_06_10_US_21EG_GENERATION_867.331.5244x06391,520041,CLASSIC,DEBIT,Dec-30,Port John,NY,US,95397,WELLS FARGO,1
Cards,Credit Card,87,2024_08_09_US_92XM_ENVIRONMENTAL_5879648920,410039,GOLD,DEBIT,Apr-23,South Mason,FL,US,33515,"CITIBANK, N.A.",0
Cards,Credit Card,88,2024_05_01_US_39NP_RANGE_(470)372-2918,630042,CLASSIC,DEBIT,Aug-25,Lake Jennymouth,WA,US,66314,"CITIBANK, N.A.",0
Cards,Credit Card,89,2024_10_13_US_56IH_EXPECT_+1-389-332-0182x393,410039,PLATINUM,CREDIT,Sep-24,Richardfort,FL,US,15563,BANK OF AMERICA,0
Cards,Credit Card,90,2024_01_30_US_46NP_OPEN_848.839.2322,630042,CLASSIC,DEBIT,Feb-28,South Jeremy,NY,US,71627,CHASE BANK,0
Cards,Credit Card,91,2024_08_05_US_75EX_TEACH_(572)884-3516x40448,630042,CLASSIC,CREDIT,May-28,Carlsonmouth,WA,US,78987,CHASE BANK,1
Cards,Credit Card,92,2024_09_02_US_17MJ_SHE_+1-987-604-2039x222,520041,PLATINUM,CREDIT,Dec-29,Tranberg,TX,US,02616,CHASE BANK,1
Cards,Credit Card,93,2024_01_14_US_43BU_WORKER_486-908-6389,630042,CLASSIC,DEBIT,Feb-25,Mollybury,FL,US,25768,"CITIBANK, N.A.",1
Cards,Credit Card,94,2024_07_15_US_15FT_COMMERCIAL_(539)685-3131x21538,520041,CLASSIC,CREDIT,Jul-25,Lopezside,NY,US,79825,BANK OF AMERICA,0
Cards,Credit Card,95,2024_08_02_US_06SD_SEAT_796.491.0955,410039,GOLD,CREDIT,Jan-28,Crystaltown,WA,US,53665,WELLS FARGO,0
Cards,Credit Card,96,2024_06_28_US_26DA_BEAUTIFUL_(661)648-6225x370,410039,PLATINUM,CREDIT,Oct-28,Wareburgh,CA,US,50282,CHASE BANK,0
Cards,Credit Card,97,2024_02_27_US_84XO_TELEVISION_638-298-5597x607,630042,PLATINUM,DEBIT,Apr-25,Lake Anabury,CA,US,20331,BANK OF AMERICA,0
Cards,Credit Card,98,2024_11_05_US_23FT_THERE_001-448-478-8923,410039,PLATINUM,DEBIT,Feb-30,Port Alexander,TX,US,84024,WELLS FARGO,1
Cards,Credit Card,99,2024_03_29_US_42HQ_STUDY_361.235.5892,520041,PLATINUM,DEBIT,Feb-24,East Tashafurt,NY,US,17971,BANK OF AMERICA,0
Cards,Credit Card,100,2024_04_10_US_06NL_SEA_001-287-703-2294x72643,630042,GOLD,DEBIT,Jun-24,Martinmouth,FL,US,43157,"CITIBANK, N.A.",0
Cards,Credit Card,101,2024_07_27_US_92VW_SON_750.939.4205x561,410039,GOLD,DEBIT,Oct-24,Vanessamouth,NY,US,35107,"CITIBANK, N.A.",1
Cards,Credit Card,102,2024_09_26_US_88PG_UPON_974.279.8657,520041,GOLD,DEBIT,Oct-23,Wagnermouth,WA,US,37107,WELLS FARGO,1
Cards,Credit Card,103,2024_02_02_US_41DV_WHY_347-944-1774x21782,520041,PLATINUM,DEBIT,Mar-29,Taylorfurt,TX,US,41478,"CITIBANK, N.A.",1
Cards,Credit Card,104,2024_03_16_US_96LO_FORM_(821)655-2601,410039,PLATINUM,CREDIT,Sep-24,East Carolyn,CA,US,71828,"CITIBANK, N.A.",1
Cards,Credit Card,105,2024_11_06_US_56EC_PARTNER_001-753-327-4483,520041,PLATINUM,CREDIT,Oct-27,South Deborahport,FL,US,06270,"CITIBANK, N.A.",1
Cards,Credit Card,106,2024_11_22_US_33BE_MOVIE_001-840-971-5133,520041,GOLD,CREDIT,Jul-30,Richmondside,TX,US,86822,CHASE BANK,0
Cards,Credit Card,107,2024_04_09_US_49RY_POLITICS_(652)565-9541x54503,630042,PLATINUM,DEBIT,Oct-25,Kathryntown,TX,US,34406,"CITIBANK, N.A.",0
Cards,Credit Card,108,2024_10_06_US_81KT_SOUTHERN_(778)879-3268,630042,PLATINUM,DEBIT,Mar-30,Lake Lori,CA,US,29624,"CITIBANK, N.A.",0
Cards,Credit Card,109,2024_08_19_US_51YQ_SEEK_692.401.6070x70978,520041,PLATINUM,DEBIT,Jul-24,South Yolandaton,NY,US,51912,"CITIBANK, N.A.",0
Cards,Credit Card,110,2024_01_19_US_42MN_NATIONAL_(301)978-3626x298,630042,CLASSIC,CREDIT,Oct-30,Lake Danieltown,FL,US,79607,"CITIBANK, N.A.",0
Cards,Credit Card,111,2024_05_13_US_45VD_SOON_342.515.0744,520041,GOLD,DEBIT,Nov-27,Port Tinashire,WA,US,29384,BANK OF AMERICA,1
Cards,Credit Card,112,2024_10_10_US_55UN_NEAR_(465)568-4661x2909,520041,GOLD,DEBIT,Jan-29,Lake Yvonnehaven,TX,US,37700,WELLS FARGO,0
Cards,Credit Card,113,2024_02_11_US_18CC_PROGRAM_3275789889,630042,GOLD,CREDIT,Mar-23,Sarahmouth,NY,US,80975,CHASE BANK,1
Cards,Credit Card,114,2024_11_17_US_47SF_SUCCESS_(786)867-4461x516,630042,PLATINUM,DEBIT,Nov-30,West Tiffanychester,CA,US,09629,CHASE BANK,1
Cards,Credit Card,115,2024_08_05_US_18ED_ELSE_001-926-931-8255x20178,630042,GOLD,CREDIT,Nov-28,Donaldfurt,FL,US,82206,"CITIBANK, N.A.",0
Cards,Credit Card,116,2024_11_22_US_50HD_BECAUSE_001-958-843-2887x8954,410039,CLASSIC,CREDIT,May-27,Port Sherylstad,CA,US,25670,WELLS FARGO,0
Cards,Credit Card,117,2024_09_24_US_09EZ_CONGRESS_+1-949-818-8968x2504,630042,CLASSIC,CREDIT,Jun-23,New Charles,CA,US,60940,WELLS FARGO,0
Cards,Credit Card,118,2024_10_03_US_03SD_CHALLENGE_7964720552,410039,PLATINUM,DEBIT,Aug-28,North Adam,TX,US,35293,"CITIBANK, N.A.",1
Cards,Credit Card,119,2024_09_24_US_50KL_NOTE_(384)313-4996,520041,PLATINUM,DEBIT,Dec-23,North Billyborough,NY,US,31936,BANK OF AMERICA,0
Cards,Credit Card,120,2024_06_20_US_97UH_FALL_001-379-418-0832,630042,CLASSIC,DEBIT,Apr-28,South Luis,NY,US,67777,"CITIBANK, N.A.",0
Cards,Credit Card,121,2024_10_22_US_25HG_WRITER_6123090723,410039,CLASSIC,CREDIT,Aug-23,North Pamelatown,NY,US,62543,"CITIBANK, N.A.",1
Cards,Credit Card,122,2024_10_30_US_00PL_PICK_001-448-758-5507x9076,520041,PLATINUM,CREDIT,Apr-30,East Lisa,NY,US,23568,BANK OF AMERICA,1
Cards,Credit Card,123,2024_06_04_US_32RR_CURRENT_001-272-725-1761x76817,630042,CLASSIC,CREDIT,Aug-27,Samanthafurt,FL,US,24170,CHASE BANK,0
Cards,Credit Card,124,2024_06_14_US_04AD_RECENT_800.930.5326x265,410039,CLASSIC,CREDIT,Aug-23,Louisberg,TX,US,76608,CHASE BANK,1
Cards,Credit Card,125,2024_11_03_US_41IZ_VOTE_+1-266-453-5890x56253,630042,PLATINUM,DEBIT,Jun-27,Lake Robertside,WA,US,68306,CHASE BANK,1
Cards,Credit Card,126,2024_04_02_US_94RC_QUICKLY_880.928.4151,410039,PLATINUM,CREDIT,Oct-30,Lake Kimberly,FL,US,02389,BANK OF AMERICA,0
Cards,Credit Card,127,2024_09_19_US_25BI_CHURCH_982.928.5328,630042,PLATINUM,CREDIT,Jan-30,Morrisview,WA,US,41839,CHASE BANK,0
Cards,Credit Card,128,2024_06_28_US_93VK_NEW_999-325-6467,520041,PLATINUM,DEBIT,Apr-25,North Ashleystad,NY,US,09008,CHASE BANK,1
Cards,Credit Card,129,2024_10_20_US_31VK_SEVEN_001-226-807-8301x86674,520041,GOLD,DEBIT,Aug-26,Sanchezbury,WA,US,50817,"CITIBANK, N.A.",1
Cards,Credit Card,130,2024_03_31_US_84DH_WALL_001-499-715-3003x0461,520041,PLATINUM,DEBIT,Mar-28,Amberville,CA,US,79971,BANK OF AMERICA,0
Cards,Credit Card,131,2024_11_09_US_26HF_SPECIFIC_+1-660-791-3692x70827,410039,PLATINUM,CREDIT,Jan-30,Simpsonton,CA,US,41212,BANK OF AMERICA,0
Cards,Credit Card,132,2024_10_30_US_40NW_ITEM_001-260-765-5471x57825,410039,PLATINUM,CREDIT,Jan-30,New Monicaborough,WA,US,60469,CHASE BANK,0
Cards,Credit Card,133,2024_01_12_US_05LH_EDUCATION_(434)624-2060,630042,PLATINUM,CREDIT,Feb-30,Martinezside,WA,US,03332,BANK OF AMERICA,0
Cards,Credit Card,134,2024_02_26_US_49WJ_ACCORDING_709.429.1491,630042,GOLD,DEBIT,Sep-27,Albertland,CA,US,50427,CHASE BANK,0
Cards,Credit Card,135,2024_06_30_US_72UJ_PROTECT_497.788.7865x3195,410039,CLASSIC,CREDIT,Jan-23,Popeville,NY,US,73582,BANK OF AMERICA,1
Cards,Credit Card,136,2024_02_03_US_53NG_CAPITAL_300-273-7458x2357,410039,GOLD,CREDIT,Aug-26,North Michael,CA,US,53366,WELLS FARGO,0
Cards,Credit Card,137,2024_08_25_US_70VJ_WHEN_(342)602-8755x516,410039,CLASSIC,CREDIT,Sep-24,Heatherchester,FL,US,13546,"CITIBANK, N.A.",0
Cards,Credit Card,138,2024_01_20_US_33AA_WALL_+1-732-856-5682x2507,410039,CLASSIC,CREDIT,Sep-27,Lake Annestad,CA,US,19387,"CITIBANK, N.A.",0
Cards,Credit Card,139,2024_02_17_US_48HI_TOWN_001-231-685-5891x72195,520041,CLASSIC,DEBIT,Jun-25,Wardland,TX,US,47668,BANK OF AMERICA,1
Cards,Credit Card,140,2024_08_09_US_42SH_BEFORE_3066560720,630042,PLATINUM,CREDIT,Apr-29,North Jesseport,FL,US,13601,CHASE BANK,1
Cards,Credit Card,141,2024_04_30_US_31ED_ALSO_8063820165,410039,CLASSIC,DEBIT,Sep-28,Lake Julianburgh,NY,US,97961,"CITIBANK, N.A.",1
Cards,Credit Card,142,2024_09_07_US_35TH_FRIEND_935-838-8596x989,520041,CLASSIC,CREDIT,Jun-24,South Hannahchester,WA,US,79452,CHASE BANK,1
Cards,Credit Card,143,2024_05_01_US_55DQ_SPEAK_(715)970-8686,520041,PLATINUM,DEBIT,Jul-30,South Kevinfurt,NY,US,97737,"CITIBANK, N.A.",0
Cards,Credit Card,144,2024_02_24_US_43KD_GROUND_(470)734-3908,520041,CLASSIC,DEBIT,Mar-27,East Maria,NY,US,68235,CHASE BANK,1
Cards,Credit Card,145,2024_06_14_US_39XY_CITY_409.561.6899,630042,PLATINUM,DEBIT,Oct-29,Tracychester,WA,US,05243,CHASE BANK,0
Cards,Credit Card,146,2024_06_09_US_64LQ_LAUGH_(695)973-4776,630042,PLATINUM,CREDIT,Jul-26,Krausechester,TX,US,85483,BANK OF AMERICA,0
Cards,Credit Card,147,2024_05_30_US_53HS_RIGHT_+1-243-491-2215,520041,CLASSIC,CREDIT,Nov-30,South Christina,TX,US,73790,WELLS FARGO,0
Cards,Credit Card,148,2024_04_29_US_33ZN_STATEMENT_001-501-553-4257x31514,410039,GOLD,CREDIT,Nov-26,Carrieburgh,NY,US,65166,"CITIBANK, N.A.",0
Cards,Credit Card,149,2024_06_13_US_98VR_LOOK_001-381-493-1740x20182,630042,GOLD,CREDIT,Dec-24,Jonesborough,NY,US,44991,CHASE BANK,0
Cards,Credit Card,150,2024_11_21_US_48TC_CAUSE_001-203-236-4098x057,630042,PLATINUM,CREDIT,Oct-28,Joshuatown,CA,US,56522,WELLS FARGO,1
Cards,Credit Card,151,2024_05_23_US_29HG_FACTOR_(466)420-2330,410039,GOLD,DEBIT,May-28,Maryfurt,CA,US,45043,BANK OF AMERICA,1
Cards,Credit Card,152,2024_11_12_US_03UE_SUGGEST_985.387.0595,520041,CLASSIC,DEBIT,Jul-27,Moralestown,NY,US,34160,"CITIBANK, N.A.",0
Cards,Credit Card,153,2024_06_19_US_46TV_TREAT_(353)310-7174x546,520041,GOLD,DEBIT,Jan-25,Jenniferville,TX,US,47006,"CITIBANK, N.A.",0
Cards,Credit Card,154,2024_08_23_US_21PG_EAST_(285)347-9655x1135,630042,PLATINUM,CREDIT,Nov-24,Port Laura,NY,US,09697,WELLS FARGO,1
Cards,Credit Card,155,2024_05_03_US_71DZ_REAL_549-488-5512x1967,520041,CLASSIC,CREDIT,Jun-26,North Pamela,WA,US,50916,"CITIBANK, N.A.",1
Cards,Credit Card,156,2024_04_21_US_59IC_SCIENCE_985.405.1645,520041,GOLD,CREDIT,May-28,Meganland,CA,US,17935,CHASE BANK,0
